epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.747,0.2239,1.82549,0.99524,0.71302,0.72052,0.76638,0.75403,0.17912,0.8324,0.37413,0.000208065,0.000208065,0.000208065
2,489.69,0.1362,0.97897,0.91705,0.82643,0.74701,0.84179,0.81394,0.26351,0.68649,0.4755,0.000408154,0.000408154,0.000408154
3,687.055,0.13053,0.84123,0.91312,0.80251,0.78297,0.859,0.85396,0.18645,0.67462,0.37306,0.000599992,0.000599992,0.000599992
4,881.47,0.12275,0.77068,0.9081,0.82228,0.77847,0.86264,0.82542,0.30298,0.70391,0.48593,0.000587875,0.000587875,0.000587875
5,1075.83,0.11085,0.70224,0.90409,0.81563,0.83111,0.88548,0.87305,0.17307,0.58794,0.34091,0.0005755,0.0005755,0.0005755
6,1268.13,0.09994,0.65173,0.89705,0.85581,0.82822,0.90643,0.87273,0.23639,0.5714,0.40373,0.000563125,0.000563125,0.000563125
7,1468.62,0.09366,0.6083,0.89292,0.84513,0.81057,0.90732,0.90122,0.18279,0.59974,0.35449,0.00055075,0.00055075,0.00055075
8,1668.75,0.08873,0.58206,0.89065,0.86552,0.83546,0.92008,0.87912,0.22724,0.57075,0.37795,0.000538375,0.000538375,0.000538375
9,1868.37,0.08764,0.56177,0.88976,0.87399,0.82168,0.92474,0.92241,0.17746,0.4771,0.34943,0.000526,0.000526,0.000526
10,2067.4,0.08396,0.54371,0.89104,0.87678,0.87144,0.93671,0.928,0.16011,0.3918,0.33593,0.000513625,0.000513625,0.000513625
11,2261.71,0.07929,0.53096,0.88746,0.89413,0.86776,0.94253,0.90114,0.2147,0.47213,0.36756,0.00050125,0.00050125,0.00050125
12,2460.02,0.07682,0.51082,0.88525,0.87817,0.88185,0.93952,0.9286,0.18121,0.40739,0.3615,0.000488875,0.000488875,0.000488875
13,2660.38,0.07655,0.49864,0.89109,0.89038,0.87781,0.94325,0.92944,0.15959,0.39326,0.32954,0.0004765,0.0004765,0.0004765
14,2858.19,0.07258,0.48567,0.88422,0.90715,0.89641,0.95307,0.94813,0.19163,0.35634,0.36314,0.000464125,0.000464125,0.000464125
15,3053.79,0.06975,0.46986,0.88645,0.90483,0.88815,0.95443,0.94395,0.17898,0.3695,0.35822,0.00045175,0.00045175,0.00045175
16,3253.04,0.06848,0.46167,0.88259,0.88714,0.89868,0.94777,0.94027,0.16488,0.36669,0.34022,0.000439375,0.000439375,0.000439375
17,3451.17,0.06801,0.44923,0.88264,0.91646,0.90342,0.95887,0.95441,0.15254,0.34694,0.32699,0.000427,0.000427,0.000427
18,3648.37,0.06622,0.4417,0.88416,0.91568,0.90586,0.95745,0.95261,0.14934,0.33781,0.31839,0.000414625,0.000414625,0.000414625
19,3846.28,0.06344,0.43261,0.88297,0.92666,0.9045,0.9628,0.96126,0.16233,0.33297,0.33336,0.00040225,0.00040225,0.00040225
20,4043.2,0.06274,0.42534,0.88173,0.92646,0.90141,0.96559,0.96137,0.15832,0.33143,0.32977,0.000389875,0.000389875,0.000389875
21,4240.09,0.06341,0.42027,0.8825,0.92362,0.91249,0.96554,0.96314,0.15716,0.31691,0.3295,0.0003775,0.0003775,0.0003775
22,4436.52,0.0605,0.40731,0.88293,0.92453,0.90956,0.96631,0.96393,0.15496,0.3257,0.32867,0.000365125,0.000365125,0.000365125
23,4631.99,0.05845,0.39304,0.8814,0.93439,0.92086,0.9717,0.97031,0.15151,0.33401,0.32303,0.00035275,0.00035275,0.00035275
24,4826.02,0.05749,0.38407,0.88043,0.93796,0.92014,0.97284,0.97189,0.12809,0.28812,0.30097,0.000340375,0.000340375,0.000340375
25,5022.33,0.05611,0.37807,0.87951,0.95609,0.91914,0.97516,0.97468,0.12887,0.2839,0.29404,0.000328,0.000328,0.000328
26,5219.68,0.05605,0.37842,0.88226,0.94524,0.91745,0.97362,0.9721,0.13358,0.30122,0.2982,0.000315625,0.000315625,0.000315625
27,5413.91,0.05549,0.37314,0.88034,0.9502,0.91693,0.97421,0.97188,0.12371,0.28174,0.28891,0.00030325,0.00030325,0.00030325
28,5608.69,0.0532,0.35664,0.87979,0.94316,0.91026,0.97346,0.97125,0.13455,0.29456,0.29801,0.000290875,0.000290875,0.000290875
29,5801.62,0.05014,0.35123,0.8774,0.94411,0.92803,0.97627,0.97557,0.14298,0.26615,0.31062,0.0002785,0.0002785,0.0002785
30,5993.29,0.05067,0.34741,0.87844,0.94329,0.92809,0.97576,0.97547,0.13836,0.28087,0.31165,0.000266125,0.000266125,0.000266125
31,6177.43,0.04904,0.3454,0.87824,0.94785,0.92537,0.97287,0.97213,0.13245,0.29182,0.29761,0.00025375,0.00025375,0.00025375
32,6370.5,0.04978,0.33748,0.87889,0.9379,0.92636,0.97459,0.97341,0.14129,0.28627,0.31023,0.000241375,0.000241375,0.000241375
33,6566.87,0.04879,0.32961,0.87811,0.93415,0.94334,0.97716,0.97682,0.13026,0.2576,0.29425,0.000229,0.000229,0.000229
34,6761.31,inf,0.33073,0.87989,0.95404,0.93336,0.97984,0.97973,0.13561,0.2694,0.30377,0.000216625,0.000216625,0.000216625
