epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.184,0.26583,2.33885,1.02005,0.64924,0.59333,0.55602,0.50679,0.39238,1.50773,0.49212,0.000330709,0.000330709,0.000330709
2,62.7723,0.16112,1.45125,0.92689,0.61983,0.5975,0.63036,0.57041,0.31689,1.26413,0.35586,0.000650894,0.000650894,0.000650894
3,91.7771,0.15946,1.24093,0.9138,0.54028,0.65183,0.67632,0.67153,0.22402,1.24747,0.31066,0.000957879,0.000957879,0.000957879
4,120.947,0.15045,1.15406,0.91077,0.73995,0.66254,0.73158,0.72122,0.18975,0.92214,0.28369,0.0009406,0.0009406,0.0009406
5,150.211,0.14402,1.01022,0.90694,0.59936,0.74549,0.74577,0.74061,0.22144,1.10532,0.28885,0.0009208,0.0009208,0.0009208
6,180.117,0.12937,0.97249,0.89753,0.7252,0.6628,0.76724,0.75522,0.18398,1.09958,0.25813,0.000901,0.000901,0.000901
7,210.55,0.11872,0.88673,0.88788,0.71779,0.79772,0.81117,0.80888,0.13301,0.69199,0.19125,0.0008812,0.0008812,0.0008812
8,241.617,0.1126,0.85014,0.89076,0.73057,0.81742,0.85034,0.84892,0.16233,0.64282,0.21347,0.0008614,0.0008614,0.0008614
9,272.538,0.10684,0.78861,0.88889,0.66251,0.72271,0.8099,0.80447,0.15553,0.8784,0.21921,0.0008416,0.0008416,0.0008416
10,303.724,0.10018,0.7774,0.89205,0.82438,0.60762,0.7686,0.76268,0.14759,0.83298,0.20611,0.0008218,0.0008218,0.0008218
11,334.815,0.09593,0.74147,0.88601,0.78535,0.66091,0.78577,0.76783,0.17824,0.92003,0.2565,0.000802,0.000802,0.000802
12,366.287,0.09373,0.74539,0.88969,0.77111,0.8151,0.85606,0.8446,0.29336,0.67905,0.42714,0.0007822,0.0007822,0.0007822
13,397.961,0.09346,0.70508,0.88287,0.76881,0.7974,0.8561,0.85353,0.14775,0.60239,0.21069,0.0007624,0.0007624,0.0007624
14,429.892,0.0903,0.68064,0.88982,0.83404,0.78143,0.88953,0.86924,0.16156,0.63092,0.23477,0.0007426,0.0007426,0.0007426
15,461.352,0.08696,0.643,0.88794,0.8174,0.79556,0.89763,0.89611,0.15695,0.66745,0.23716,0.0007228,0.0007228,0.0007228
